subject,perceptiontype,pause,turning,brightening,blinking,circling,_eye,_behavior,expwithrobot,ownrobot,informationsource,laborhelp,age,gender,major,eyecontact,owndog,expwithvoiceassistant,expwaiter,expvolunteer,interruptforhelp,owncat
P15,willing,7,7,4,7,4,1,1,1,No,Human,Human,26,Female,Economics,7,No,1,No,Yes,Yes,No
P16,receiving,6,5,7,4,3,2,5,2,No,"Search Engine like Google, Bing",Robot,23,Female,Computer Science,6,No,2,No,Yes,Yes,No
P16,respect,6,6,6,4,4,6,6,2,No,"Search Engine like Google, Bing",Robot,23,Female,Computer Science,6,No,2,No,Yes,Yes,No
P16,willing,6,6,6,6,4,4,6,2,No,"Search Engine like Google, Bing",Robot,23,Female,Computer Science,6,No,2,No,Yes,Yes,No
P17,receiving,2,5,5,3,2,2,2,6,No,Human,Human,26,Male,Computer science,3,No,6,No,Yes,Yes,Yes
P17,respect,5,5,2,2,1,4,3,6,No,Human,Human,26,Male,Computer science,3,No,6,No,Yes,Yes,Yes
P17,willing,5,5,2,1,1,3,3,6,No,Human,Human,26,Male,Computer science,3,No,6,No,Yes,Yes,Yes
P18,receiving,5,5,5,2,2,4,2,1,No,"Search Engine like Google, Bing",Internet and book ,26,Male,Mathematics,4,No,1,No,Yes,Maybe,No
P18,respect,3,2,2,2,2,2,2,1,No,"Search Engine like Google, Bing",Internet and book ,26,Male,Mathematics,4,No,1,No,Yes,Maybe,No
P18,willing,5,5,5,4,4,4,4,1,No,"Search Engine like Google, Bing",Internet and book ,26,Male,Mathematics,4,No,1,No,Yes,Maybe,No
P19,receiving,7,6,5,7,5,1,1,5,No,"Search Engine like Google, Bing",Robot,25,Male,Computer Science,6,No,1,No,No,Yes,No
P19,respect,6,5,5,6,5,1,1,5,No,"Search Engine like Google, Bing",Robot,25,Male,Computer Science,6,No,1,No,No,Yes,No
P19,willing,6,7,7,6,6,1,1,5,No,"Search Engine like Google, Bing",Robot,25,Male,Computer Science,6,No,1,No,No,Yes,No
P20,receiving,6,7,4,4,7,1,1,5,No,"Search Engine like Google, Bing",Robot,24,Male,Electrical engineer ,6,No,3,No,Yes,Yes,No
P20,respect,7,5,4,6,6,3,2,5,No,"Search Engine like Google, Bing",Robot,24,Male,Electrical engineer ,6,No,3,No,Yes,Yes,No
P20,willing,7,7,6,7,5,1,1,5,No,"Search Engine like Google, Bing",Robot,24,Male,Electrical engineer ,6,No,3,No,Yes,Yes,No
P21,receiving,4,7,7,6,7,2,2,1,No,"Search Engine like Google, Bing",Human,24,Female,Economics,7,Yes,2,No,Yes,No,Yes
P21,respect,6,5,5,5,6,1,1,1,No,"Search Engine like Google, Bing",Human,24,Female,Economics,7,Yes,2,No,Yes,No,Yes
P21,willing,7,6,5,6,7,1,1,1,No,"Search Engine like Google, Bing",Human,24,Female,Economics,7,Yes,2,No,Yes,No,Yes
P22,receiving,5,7,7,7,7,2,1,5,Yes,Human,Human,26,Male,Electrical engineer ,6,No,2,No,Yes,Yes,No
P22,respect,6,6,5,5,6,3,1,5,Yes,Human,Human,26,Male,Electrical engineer ,6,No,2,No,Yes,Yes,No
P22,willing,6,7,6,5,6,1,1,5,Yes,Human,Human,26,Male,Electrical engineer ,6,No,2,No,Yes,Yes,No
P23,receiving,5,6,6,6,7,1,2,1,No,"Search Engine like Google, Bing",Human,22,Female,Mathematics,6,No,2,No,No,Yes,No
P23,respect,7,7,5,6,6,1,1,1,No,"Search Engine like Google, Bing",Human,22,Female,Mathematics,6,No,2,No,No,Yes,No
P23,willing,7,7,7,7,6,1,1,1,No,"Search Engine like Google, Bing",Human,22,Female,Mathematics,6,No,2,No,No,Yes,No
P24,receiving,7,7,7,6,6,1,1,4,No,"Search Engine like Google, Bing",Robot,24,Male,Electrical engineer ,6,Yes,4,No,Yes,Yes,No
